usage_id,customer_id,service_type,month_year,gb_used,minutes_used
0,CUST0001,Internet,2023-01-01,53.2,1710
1,CUST0001,Internet,2023-01-31,30.12,1959
2,CUST0001,Internet,2023-03-02,23.11,1925
3,CUST0001,Internet,2023-04-01,4.34,748
4,CUST0002,Phone,2023-01-01,41.36,679
5,CUST0002,Phone,2023-01-31,78.23,577
6,CUST0002,Phone,2023-03-02,29.44,262
7,CUST0002,Phone,2023-04-01,47.07,1312
8,CUST0002,Phone,2023-05-01,51.76,1730
9,CUST0002,Phone,2023-05-31,38.48,1957
10,CUST0002,Phone,2023-06-30,35.88,1261
11,CUST0002,Phone,2023-07-30,35.34,415
12,CUST0002,Phone,2023-08-29,53.9,1987
13,CUST0002,Phone,2023-09-28,68.34,1425
14,CUST0002,Streaming,2023-01-01,3.84,1026
15,CUST0002,Streaming,2023-01-31,55.75,228
16,CUST0002,Streaming,2023-03-02,12.08,440
17,CUST0002,Streaming,2023-04-01,62.8,1533
18,CUST0002,Streaming,2023-05-01,42.84,1007
19,CUST0002,Streaming,2023-05-31,5.13,1348
20,CUST0002,Streaming,2023-06-30,40.39,1091
21,CUST0002,Streaming,2023-07-30,24.94,1304
22,CUST0002,Streaming,2023-08-29,61.7,1509
23,CUST0002,Streaming,2023-09-28,48.99,1895
24,CUST0003,Phone,2023-01-01,6.76,1419
25,CUST0003,Phone,2023-01-31,9.28,1454
26,CUST0003,Phone,2023-03-02,68.06,111
27,CUST0003,Phone,2023-04-01,13.84,894
28,CUST0003,Phone,2023-05-01,48.35,1061
29,CUST0003,Phone,2023-05-31,61.73,1439
30,CUST0003,Phone,2023-06-30,2.11,1719
31,CUST0003,Phone,2023-07-30,23.52,1916
32,CUST0003,Phone,2023-08-29,3.43,877
33,CUST0003,Phone,2023-09-28,56.0,907
34,CUST0003,Phone,2023-10-28,27.26,1115
35,CUST0003,Phone,2023-11-27,60.27,653
36,CUST0003,Internet,2023-01-01,21.58,1369
37,CUST0003,Internet,2023-01-31,12.22,1657
38,CUST0003,Internet,2023-03-02,11.52,853
39,CUST0003,Internet,2023-04-01,5.51,1676
40,CUST0003,Internet,2023-05-01,79.76,1283
41,CUST0003,Internet,2023-05-31,39.33,1445
42,CUST0003,Internet,2023-06-30,34.09,1196
43,CUST0003,Internet,2023-07-30,38.3,300
44,CUST0003,Internet,2023-08-29,50.57,604
45,CUST0003,Internet,2023-09-28,22.17,887
46,CUST0003,Internet,2023-10-28,39.65,677
47,CUST0003,Internet,2023-11-27,35.26,1759
48,CUST0004,Phone,2023-01-01,15.62,1022
49,CUST0004,Phone,2023-01-31,51.41,668
50,CUST0004,Phone,2023-03-02,77.29,1408
51,CUST0004,Phone,2023-04-01,64.87,712
52,CUST0004,Internet,2023-01-01,47.0,224
53,CUST0004,Internet,2023-01-31,3.93,1016
54,CUST0004,Internet,2023-03-02,7.41,945
55,CUST0004,Internet,2023-04-01,67.51,1851
56,CUST0004,Streaming,2023-01-01,28.59,1251
57,CUST0004,Streaming,2023-01-31,69.31,1273
58,CUST0004,Streaming,2023-03-02,13.18,135
59,CUST0004,Streaming,2023-04-01,79.33,1145
60,CUST0005,Phone,2023-01-01,49.23,1219
61,CUST0005,Phone,2023-01-31,54.76,263
62,CUST0005,Phone,2023-03-02,49.93,393
63,CUST0005,Phone,2023-04-01,25.07,579
64,CUST0005,Internet,2023-01-01,60.99,1523
65,CUST0005,Internet,2023-01-31,19.0,1575
66,CUST0005,Internet,2023-03-02,27.41,1878
67,CUST0005,Internet,2023-04-01,48.29,1841
68,CUST0005,Streaming,2023-01-01,58.84,1011
69,CUST0005,Streaming,2023-01-31,72.41,1722
70,CUST0005,Streaming,2023-03-02,45.41,1834
71,CUST0005,Streaming,2023-04-01,11.85,1650
72,CUST0006,Internet,2023-01-01,74.09,1433
73,CUST0006,Internet,2023-01-31,73.64,709
74,CUST0006,Internet,2023-03-02,26.82,1918
75,CUST0006,Internet,2023-04-01,33.36,715
76,CUST0006,Internet,2023-05-01,24.48,305
77,CUST0006,Internet,2023-05-31,11.22,964
78,CUST0006,Internet,2023-06-30,3.06,1478
79,CUST0006,Internet,2023-07-30,29.81,182
80,CUST0006,Internet,2023-08-29,13.56,289
81,CUST0006,Internet,2023-09-28,44.14,1035
82,CUST0006,Internet,2023-10-28,71.76,1847
83,CUST0006,Internet,2023-11-27,46.13,1324
84,CUST0006,Streaming,2023-01-01,45.14,1634
85,CUST0006,Streaming,2023-01-31,44.81,1913
86,CUST0006,Streaming,2023-03-02,53.97,936
87,CUST0006,Streaming,2023-04-01,32.32,1724
88,CUST0006,Streaming,2023-05-01,32.41,740
89,CUST0006,Streaming,2023-05-31,26.56,1978
90,CUST0006,Streaming,2023-06-30,8.32,665
91,CUST0006,Streaming,2023-07-30,36.64,153
92,CUST0006,Streaming,2023-08-29,70.14,710
93,CUST0006,Streaming,2023-09-28,71.52,292
94,CUST0006,Streaming,2023-10-28,26.96,1560
95,CUST0006,Streaming,2023-11-27,25.85,1972
96,CUST0007,Phone,2023-01-01,54.46,1449
97,CUST0007,Phone,2023-01-31,48.2,1235
98,CUST0007,Internet,2023-01-01,12.39,230
